cidade;uf;tempo;temperatura;temperatura_max;temperatura_min;nebulosidade;umidade;vento;horario_por_sol;pesca;melhor_horario_pesca;altura_maior_onda;data
Angra dos Reis;RJ;céu parcialmente nublado [emoji_nuvem_sol];22;23;22;60;89;8;6:48pm;Mediano;12:42pm - 2:42pm;0.7;11/01/2022
Aracaju;SE;céu parcialmente nublado [emoji_nuvem_sol];27;27;27;58;76;30;5:58pm;Mediano;11:58am - 1:58pm;0.7;11/01/2022
Arraial do Cabo;RJ;períodos de chuva ao longo do dia [emoji_chuva];24;24;24;95;84;5;6:39pm;Mediano;12:33pm - 2:33pm;0.8;11/01/2022
Balneário Camboriu;SC;céu parcialmente nublado [emoji_nuvem_sol];24;24;24;42;82;18;7:13pm;Mediano;1:05pm - 3:05pm;0.6;11/01/2022
Barreirinhas;MA;céu nublado [emoji_nuvem];27;27;27;80;75;23;6:05pm;Mediano;12:11pm - 2:11pm;0.7;11/01/2022
Bertioga;SP;céu nublado [emoji_nuvem];24;24;24;89;79;11;6:57pm;Mediano;12:51pm - 2:51pm;0.8;11/01/2022
Bombinhas;SC;períodos de chuva ao longo do dia [emoji_chuva];24;24;24;79;80;17;7:14pm;Mediano;1:05pm - 3:05pm;0.6;11/01/2022
Búzios;RJ;períodos de chuva ao longo do dia [emoji_chuva];25;25;25;68;88;10;6:38pm;Mediano;12:32pm - 2:32pm;0.9;11/01/2022
Cabo Frio;RJ;períodos de chuva ao longo do dia [emoji_chuva];24;24;24;95;84;5;6:39pm;Mediano;12:33pm - 2:33pm;0.8;11/01/2022
Enseada;SP;céu nublado;21;23;21;64;92;10;6:51pm;Mediano;12:45pm - 2:45pm;0.8;11/01/2022
Fernando de Noronha;PE;chuvas leves [emoji_chuva_sol];27;27;27;71;77;25;6:27pm;Mediano;12:32pm - 2:32pm;1.6;11/01/2022
Florianópolis;SC;períodos de chuva ao longo do dia [emoji_chuva];24;24;24;64;79;14;7:15pm;Mediano;1:06pm - 3:06pm;0.6;11/01/2022
Fortaleza;CE;períodos de chuva ao longo do dia [emoji_chuva];27;28;27;82;74;21;5:52pm;Mediano;11:56am - 1:56pm;0.7;11/01/2022
Guarujá;SP;céu nublado [emoji_nuvem];24;24;24;89;79;11;6:58pm;Mediano;12:52pm - 2:52pm;0.8;11/01/2022
Ilha Bela;SP;períodos de chuva ao longo do dia [emoji_chuva];24;24;24;67;83;6;6:54pm;Mediano;12:48pm - 2:48pm;0.8;11/01/2022
Ilhéus;BA;muito sol [emoji_sol];26;28;26;0;69;29;6:12pm;Mediano;12:11pm - 2:11pm;0.7;11/01/2022
Itanhaém;SP;céu nublado [emoji_nuvem];24;24;24;73;79;14;6:59pm;Mediano;12:52pm - 2:52pm;0.8;11/01/2022
Jaboatão dos Guararapes;PE;céu parcialmente nublado [emoji_nuvem_sol];28;28;28;55;71;19;5:44pm;Mediano;11:46am - 1:46pm;0.7;11/01/2022
Jijoca de Jericoacoara;CE;céu parcialmente nublado [emoji_nuvem_sol];27;27;27;29;76;27;6:00pm;Mediano;12:06pm - 2:06pm;2.0;11/01/2022
João Pessoa;PB;céu parcialmente nublado [emoji_nuvem_sol];28;28;28;56;71;15;5:43pm;Mediano;11:45am - 1:45pm;0.7;11/01/2022
